jobid	name	state	start	end	elapsed	node
742732	metal-ampformer_187ms	COMPLETED	2026-08-24T20:52:03	2026-08-24T21:21:23	00:29:20	msp3-5
744422	metal-ampformer_187ms	COMPLETED	2026-08-25T11:11:19	2026-08-25T11:39:21	00:28:02	msp3-0
915943	amp	COMPLETED	2026-09-17T00:39:13	2026-09-17T00:40:52	00:01:39	msp3-4
742731	metal-ampformer_48ms	COMPLETED	2026-08-24T20:45:02	2026-08-24T21:14:58	00:29:56	msp3-7
744421	metal-ampformer_48ms	COMPLETED	2026-08-25T10:43:44	2026-08-25T11:10:58	00:27:14	msp3-0
915942	amp	COMPLETED	2026-09-17T00:38:43	2026-09-17T00:40:32	00:01:49	msp3-2
915953	amp	COMPLETED	2026-09-17T00:57:50	2026-09-17T00:59:28	00:01:38	msp3-6
915951	amp	COMPLETED	2026-09-17T00:56:50	2026-09-17T00:58:49	00:01:59	msp3-3
915949	amp	COMPLETED	2026-09-17T00:48:43	2026-09-17T00:50:22	00:01:39	msp3-2
915952	amp	COMPLETED	2026-09-17T00:57:33	2026-09-17T00:59:13	00:01:40	msp3-2
915950	amp	COMPLETED	2026-09-17T00:56:07	2026-09-17T00:57:48	00:01:41	msp3-6
742730	metal-wavenet_186ms	PREEMPTED	2026-08-24T20:31:01	2026-08-25T00:01:20	03:30:19	msp3-0
742730	metal-wavenet_186ms	FAILED	2026-08-25T00:03:49	2026-08-25T00:03:50	00:00:01	sof1-h200-4
744406	metal-wavenet_186ms	COMPLETED	2026-08-25T09:57:37	2026-08-25T14:25:16	04:27:39	msp3-2
915941	amp	COMPLETED	2026-09-17T00:28:37	2026-09-17T00:42:13	00:13:36	msp3-6
742729	metal-wavenet_46ms	COMPLETED	2026-08-24T20:27:30	2026-08-24T21:52:24	01:24:54	msp3-3
915940	amp	COMPLETED	2026-09-17T00:27:34	2026-09-17T00:39:01	00:11:27	msp3-5
915948	amp	COMPLETED	2026-09-17T00:42:14	2026-09-17T00:53:44	00:11:30	msp3-6
915946	amp	COMPLETED	2026-09-17T00:41:13	2026-09-17T00:52:37	00:11:24	msp3-4
915944	amp	COMPLETED	2026-09-17T00:39:13	2026-09-17T00:50:41	00:11:28	msp3-5
915947	amp	COMPLETED	2026-09-17T00:41:43	2026-09-17T00:53:13	00:11:30	msp3-2
915945	amp	COMPLETED	2026-09-17T00:40:43	2026-09-17T00:52:13	00:11:30	msp3-2
742724	preamp-ampformer_187ms	COMPLETED	2026-08-24T20:00:28	2026-08-24T20:30:40	00:30:12	msp3-7
744420	preamp-ampformer_187ms	COMPLETED	2026-08-25T10:20:40	2026-08-25T11:03:42	00:43:02	msp3-2
915939	amp	COMPLETED	2026-09-17T00:26:42	2026-09-17T00:28:36	00:01:54	msp3-6
742723	preamp-ampformer_48ms	COMPLETED	2026-08-24T19:52:27	2026-08-24T20:22:13	00:29:46	msp3-5
744419	preamp-ampformer_48ms	COMPLETED	2026-08-25T10:08:39	2026-08-25T10:56:37	00:47:58	msp3-1
915938	amp	COMPLETED	2026-09-17T00:25:54	2026-09-17T00:27:33	00:01:39	msp3-5
742722	preamp-wavenet_186ms	PREEMPTED	2026-08-24T19:52:27	2026-08-24T21:52:28	02:00:01	msp3-1
742722	preamp-wavenet_186ms	PREEMPTED	2026-08-24T21:54:38	2026-08-25T00:01:14	02:06:36	msp3-1
742722	preamp-wavenet_186ms	FAILED	2026-08-25T00:03:19	2026-08-25T00:03:20	00:00:01	sof1-h200-4
744405	preamp-wavenet_186ms	COMPLETED	2026-08-25T09:09:32	2026-08-25T13:37:31	04:27:59	msp3-2
915937	amp	COMPLETED	2026-09-17T00:25:22	2026-09-17T00:38:54	00:13:32	msp3-4
742721	preamp-wavenet_46ms	PREEMPTED	2026-08-24T19:51:57	2026-08-24T21:52:08	02:00:11	msp3-1
742721	preamp-wavenet_46ms	COMPLETED	2026-08-24T21:54:38	2026-08-25T01:41:21	03:46:43	msp3-3
744418	preamp-wavenet_46ms	PREEMPTED	2026-08-25T10:06:38	2026-08-25T12:06:39	02:00:01	msp3-1
744418	preamp-wavenet_46ms	COMPLETED	2026-08-25T12:12:59	2026-08-25T14:03:09	01:50:10	msp3-1
915936	amp	COMPLETED	2026-09-17T00:24:59	2026-09-17T00:36:28	00:11:29	msp3-2
739714	cabinet-ampformer_187ms	COMPLETED	2026-08-23T19:02:33	2026-08-23T19:05:33	00:03:00	msp3-1
739713	cabinet-ampformer_48ms	COMPLETED	2026-08-23T19:00:03	2026-08-23T19:03:14	00:03:11	msp3-1
739712	cabinet-wavenet_186ms	COMPLETED	2026-08-23T18:55:03	2026-08-23T19:21:40	00:26:37	msp3-2
739711	cabinet-wavenet_46ms	COMPLETED	2026-08-23T18:48:32	2026-08-23T19:11:04	00:22:32	msp3-2
739706	clean-ampformer_187ms	COMPLETED	2026-08-23T18:28:31	2026-08-23T18:31:45	00:03:14	msp3-2
739705	clean-ampformer_48ms	COMPLETED	2026-08-23T18:25:00	2026-08-23T18:28:27	00:03:27	msp3-2
739704	clean-wavenet_186ms	COMPLETED	2026-08-23T18:05:59	2026-08-23T18:32:56	00:26:57	msp3-1
739703	clean-wavenet_46ms	COMPLETED	2026-08-23T17:29:26	2026-08-23T17:52:20	00:22:54	msp3-1
739718	metal-ampformer_187ms	COMPLETED	2026-08-23T19:09:34	2026-08-23T19:12:58	00:03:24	msp3-0
739717	metal-ampformer_48ms	COMPLETED	2026-08-23T19:06:33	2026-08-23T19:09:48	00:03:15	msp3-3
739716	metal-wavenet_186ms	COMPLETED	2026-08-23T19:06:03	2026-08-23T19:33:01	00:26:58	msp3-1
739715	metal-wavenet_46ms	COMPLETED	2026-08-23T19:03:33	2026-08-23T19:26:17	00:22:44	msp3-1
739710	preamp-ampformer_187ms	COMPLETED	2026-08-23T18:45:02	2026-08-23T18:48:08	00:03:06	msp3-2
739709	preamp-ampformer_48ms	COMPLETED	2026-08-23T18:41:32	2026-08-23T18:44:44	00:03:12	msp3-2
739708	preamp-wavenet_186ms	COMPLETED	2026-08-23T18:33:01	2026-08-23T19:00:01	00:27:00	msp3-1
739707	preamp-wavenet_46ms	COMPLETED	2026-08-23T18:32:01	2026-08-23T18:54:57	00:22:56	msp3-2
739683	cabinet-ampformer_187ms	COMPLETED	2026-08-23T17:21:56	2026-08-23T17:24:59	00:03:03	msp3-3
739682	cabinet-ampformer_48ms	COMPLETED	2026-08-23T17:21:26	2026-08-23T17:24:51	00:03:25	msp3-1
739681	cabinet-wavenet_186ms	CANCELLED by 10206	2026-08-23T17:21:26	2026-08-23T17:28:59	00:07:33	msp3-3
739680	cabinet-wavenet_46ms	CANCELLED by 10206	2026-08-23T17:21:26	2026-08-23T17:28:59	00:07:33	msp3-3
739620	clean-ampformer_187ms	COMPLETED	2026-08-23T16:48:54	2026-08-23T16:52:05	00:03:11	msp3-1
739619	clean-ampformer_48ms	COMPLETED	2026-08-23T16:45:23	2026-08-23T16:48:32	00:03:09	msp3-1
739618	clean-wavenet_186ms	COMPLETED	2026-08-23T16:44:53	2026-08-23T17:11:58	00:27:05	msp3-1
739617	clean-wavenet_46ms	COMPLETED	2026-08-23T16:42:23	2026-08-23T17:05:33	00:23:10	msp3-1
739686	metal-ampformer_48ms	COMPLETED	2026-08-23T17:25:26	2026-08-23T17:28:41	00:03:15	msp3-3
739685	metal-wavenet_186ms	CANCELLED by 10206	2026-08-23T17:24:56	2026-08-23T17:28:59	00:04:03	msp3-1
739684	metal-wavenet_46ms	CANCELLED by 10206	2026-08-23T17:24:56	2026-08-23T17:28:59	00:04:03	msp3-3
739624	preamp-ampformer_187ms	COMPLETED	2026-08-23T17:02:25	2026-08-23T17:05:52	00:03:27	msp3-3
737363	smoke	COMPLETED	2026-08-22T19:41:03	2026-08-22T19:41:43	00:00:40	msp3-0
739623	preamp-ampformer_48ms	COMPLETED	2026-08-23T17:02:25	2026-08-23T17:05:56	00:03:31	msp3-3
739622	preamp-wavenet_186ms	COMPLETED	2026-08-23T16:52:24	2026-08-23T17:19:30	00:27:06	msp3-1
739621	preamp-wavenet_46ms	COMPLETED	2026-08-23T16:50:24	2026-08-23T17:13:22	00:22:58	msp3-1
